Date,Price,Open,High,Low,Vol.,Change
14-Dec-16,115.19,115.04,116.2,114.98,34.03M,0.00%
13-Dec-16,115.19,113.84,115.92,113.75,43.73M,1.67%
12-Dec-16,113.3,113.29,115,112.49,26.37M,-0.57%
9-Dec-16,113.95,112.31,114.7,112.31,34.40M,1.63%
8-Dec-16,112.12,110.86,112.43,110.6,27.07M,0.98%
7-Dec-16,111.03,109.26,111.19,109.16,30.00M,0.98%
6-Dec-16,109.95,109.5,110.36,109.19,26.20M,0.77%
5-Dec-16,109.11,110,110.03,108.25,34.32M,-0.72%
2-Dec-16,109.9,109.17,110.09,108.85,26.53M,0.37%
1-Dec-16,109.49,110.36,110.94,109.03,37.09M,-0.93%
30-Nov-16,110.52,111.6,112.2,110.27,36.16M,-0.84%
29-Nov-16,111.46,110.78,112.03,110.07,28.53M,-0.10%
28-Nov-16,111.57,111.43,112.47,111.39,27.19M,-0.20%
25-Nov-16,111.79,111.13,111.87,110.95,11.48M,0.50%
23-Nov-16,111.23,111.36,111.51,110.33,27.43M,-0.51%
22-Nov-16,111.8,111.95,112.42,111.4,25.97M,0.06%
21-Nov-16,111.73,110.12,111.99,110.01,29.26M,1.52%
18-Nov-16,110.06,109.72,110.54,109.66,28.43M,0.10%
17-Nov-16,109.95,109.81,110.35,108.83,27.63M,-0.04%
16-Nov-16,109.99,106.7,110.23,106.6,58.84M,2.69%
15-Nov-16,107.11,106.57,107.68,106.16,32.26M,1.32%
14-Nov-16,105.71,107.71,107.81,104.08,51.18M,-2.51%
11-Nov-16,108.43,107.12,108.87,106.55,34.14M,0.59%
10-Nov-16,107.79,111.09,111.09,105.83,57.13M,-2.79%
9-Nov-16,110.88,109.88,111.32,108.05,59.18M,-0.16%
8-Nov-16,111.06,110.31,111.72,109.7,24.25M,0.59%
7-Nov-16,110.41,110.08,110.51,109.46,32.56M,1.44%
4-Nov-16,108.84,108.53,110.25,108.11,30.84M,-0.90%
3-Nov-16,109.83,110.98,111.46,109.55,26.93M,-1.58%
2-Nov-16,111.59,111.4,112.35,111.23,28.33M,0.09%
1-Nov-16,111.49,113.46,113.77,110.53,43.83M,-1.81%
31-Oct-16,113.54,113.65,114.23,113.2,26.42M,-0.16%
28-Oct-16,113.72,113.87,115.21,113.45,37.86M,-0.66%
27-Oct-16,114.48,115.39,115.86,114.1,34.56M,-0.96%
26-Oct-16,115.59,114.31,115.7,113.31,66.13M,-2.25%
25-Oct-16,118.25,117.95,118.36,117.31,48.13M,0.51%
24-Oct-16,117.65,117.1,117.74,117,23.54M,0.90%
21-Oct-16,116.6,116.81,116.91,116.28,23.19M,-0.39%
20-Oct-16,117.06,116.86,117.38,116.33,24.13M,-0.05%
19-Oct-16,117.12,117.25,117.76,113.8,20.03M,-0.30%
18-Oct-16,117.47,118.18,118.21,117.45,24.55M,-0.07%
17-Oct-16,117.55,117.33,117.84,116.78,23.62M,-0.07%
14-Oct-16,117.63,117.88,118.17,117.13,35.65M,0.56%
13-Oct-16,116.98,116.79,117.44,115.72,35.19M,-0.31%
12-Oct-16,117.34,117.35,117.98,116.75,37.59M,0.89%
11-Oct-16,116.3,117.7,118.69,116.2,64.04M,0.22%
10-Oct-16,116.05,115.02,116.75,114.72,36.24M,1.74%
7-Oct-16,114.06,114.31,114.56,113.51,24.36M,0.15%
6-Oct-16,113.89,113.7,114.34,113.13,28.78M,0.74%
5-Oct-16,113.05,113.4,113.66,112.69,21.45M,0.04%
4-Oct-16,113,113.06,114.31,112.63,29.74M,0.43%
3-Oct-16,112.52,112.71,113.05,112.28,21.70M,-0.47%
30-Sep-16,113.05,112.46,113.37,111.8,36.38M,0.78%
29-Sep-16,112.18,113.16,113.8,111.8,35.89M,-1.55%
28-Sep-16,113.95,113.69,114.64,113.43,29.64M,0.76%
27-Sep-16,113.09,113,113.18,112.34,24.61M,0.19%
26-Sep-16,112.88,111.64,113.39,111.55,29.87M,0.15%
23-Sep-16,112.71,114.42,114.79,111.55,52.48M,-1.67%
22-Sep-16,114.62,114.35,114.94,114,31.07M,0.94%
21-Sep-16,113.55,113.85,113.99,112.44,36.00M,-0.02%
20-Sep-16,113.57,113.05,114.12,112.51,34.51M,-0.01%
19-Sep-16,113.58,115.19,116.18,113.25,47.02M,-1.17%
16-Sep-16,114.92,115.12,116.13,114.04,79.89M,-0.56%
15-Sep-16,115.57,113.86,115.73,113.49,90.61M,3.40%
14-Sep-16,111.77,108.73,113.03,108.6,112.34M,3.54%
13-Sep-16,107.95,107.51,108.79,107.24,62.18M,2.38%
12-Sep-16,105.44,102.65,105.72,102.53,45.29M,2.24%
9-Sep-16,103.13,104.64,105.72,103.13,46.56M,-2.26%
8-Sep-16,105.52,107.25,107.27,105.24,53.00M,-2.62%
7-Sep-16,108.36,107.83,108.76,107.07,42.36M,0.61%
6-Sep-16,107.7,107.9,108.3,107.51,26.88M,-0.03%
2-Sep-16,107.73,107.7,108,106.82,26.80M,0.94%
1-Sep-16,106.73,106.14,106.8,105.62,26.70M,0.59%
31-Aug-16,106.1,105.66,106.57,105.64,29.66M,0.09%
30-Aug-16,106,105.8,106.5,105.5,24.86M,-0.77%
29-Aug-16,106.82,106.62,107.44,106.29,24.97M,-0.11%
26-Aug-16,106.94,107.41,107.95,106.31,27.77M,-0.59%
25-Aug-16,107.57,107.39,107.88,106.68,25.09M,-0.43%
24-Aug-16,108.03,108.56,108.75,107.68,23.68M,-0.75%
23-Aug-16,108.85,108.59,109.32,108.53,21.26M,0.31%
22-Aug-16,108.51,108.86,109.1,107.85,25.82M,-0.78%
19-Aug-16,109.36,108.77,109.69,108.36,25.37M,0.26%
18-Aug-16,109.08,109.23,109.6,109.02,21.98M,-0.13%
17-Aug-16,109.22,109.1,109.37,108.34,25.36M,-0.15%
16-Aug-16,109.38,109.63,110.23,109.21,33.79M,-0.09%
15-Aug-16,109.48,108.14,109.54,108.08,25.87M,1.20%
12-Aug-16,108.18,107.78,108.44,107.78,18.66M,0.23%
11-Aug-16,107.93,108.52,108.93,107.85,27.48M,-0.06%
10-Aug-16,108,108.71,108.9,107.76,24.01M,-0.74%
9-Aug-16,108.81,108.23,108.94,108.01,26.32M,0.41%
8-Aug-16,108.37,107.52,108.37,107.16,28.04M,0.83%
5-Aug-16,107.48,106.27,107.65,106.18,40.55M,1.52%
4-Aug-16,105.87,105.58,106,105.28,27.41M,0.08%
3-Aug-16,105.79,104.81,105.84,104.77,30.20M,1.25%
2-Aug-16,104.48,106.05,106.07,104,33.82M,-1.48%
1-Aug-16,106.05,104.41,106.15,104.41,38.17M,1.77%
29-Jul-16,104.21,104.19,104.55,103.68,27.73M,-0.12%
28-Jul-16,104.34,102.83,104.45,102.82,39.87M,1.35%
27-Jul-16,102.95,104.27,104.35,102.75,92.34M,6.50%
26-Jul-16,96.67,96.82,97.97,96.42,56.24M,-0.69%
25-Jul-16,97.34,98.25,98.84,96.92,40.38M,-1.34%
22-Jul-16,98.66,99.26,99.3,98.31,28.31M,-0.77%
21-Jul-16,99.43,99.83,101,99.13,32.70M,-0.53%
20-Jul-16,99.96,100,100.46,99.73,26.28M,0.09%
19-Jul-16,99.87,99.56,100,99.34,23.78M,0.04%
18-Jul-16,99.83,98.7,100.13,98.6,36.49M,1.06%
15-Jul-16,98.78,98.92,99.3,98.5,30.14M,-0.01%
14-Jul-16,98.79,97.39,98.99,97.32,38.92M,1.98%
13-Jul-16,96.87,97.41,97.67,96.84,25.89M,-0.56%
12-Jul-16,97.42,97.17,97.7,97.12,24.17M,0.45%
